createdat,createdby,modifiedat,modifiedby,centrologistico_codigo,unidadproductiva_codigo,materialformula_codigo,material_codigo,ejercicio,porcentaje01,porcentaje02,porcentaje03,porcentaje04,porcentaje05,porcentaje06,porcentaje07,porcentaje08,porcentaje09,porcentaje10,porcentaje11,porcentaje12,escenario,bloqueouser,bloqueoadmin,historico
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000002,10000001,2025,56.3400,56.3400,56.3400,56.3400,56.3400,56.3400,56.3400,56.3400,56.3400,56.3400,56.3400,56.3400,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000002,10000004,2025,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000002,10000006,2025,0.5400,0.5400,0.5400,0.5400,0.5400,0.5400,0.5400,0.5400,0.5400,0.5400,0.5400,0.5400,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000002,10000007,2025,0.1200,0.1200,0.1200,0.1200,0.1200,0.1200,0.1200,0.1200,0.1200,0.1200,0.1200,0.1200,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000002,10000008,2025,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000002,10000009,2025,2.5300,2.5300,2.5300,2.5300,2.5300,2.5300,2.5300,2.5300,2.5300,2.5300,2.5300,2.5300,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000002,10000010,2025,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000002,10000011,2025,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000002,10000012,2025,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000002,10000013,2025,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000002,10000014,2025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000002,10000018,2025,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,1,f,f,f
2025-07-22 16:26:02.006,NMATAMOROS,2025-09-16 22:45:10.658,NMATAMOROS,1000,ABA,12000001,10000295,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0835,0.0000,0.0000,0.0000,1,f,f,t
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000002,10000023,2025,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,1,f,f,f
2025-07-23 14:55:48.967,NMATAMOROS,2025-09-02 19:21:58.245,NMATAMOROS,1000,ABA,12000002,10000034,2025,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,1,f,f,f
